# file...... feeder_power.csv
# date...... Tue Jan 24 15:06:23 2017
# user...... D3P313
# host...... (null)
# target.... transformer 29
# trigger... (none)
# interval.. 60
# limit..... 9600
# timestamp,power_in.real,power_in.imag
2000-09-01 03:01:00 PDT,+3.08045e+006,-227254
2000-09-01 03:02:00 PDT,+3.0615e+006,-230909
2000-09-01 03:03:00 PDT,+3.06579e+006,-231163
2000-09-01 03:04:00 PDT,+3.08445e+006,-231939
2000-09-01 03:05:00 PDT,+3.08994e+006,-231419
2000-09-01 03:06:00 PDT,+3.10028e+006,-231647
2000-09-01 03:07:00 PDT,+3.09497e+006,-232732
2000-09-01 03:08:00 PDT,+3.09873e+006,-232865
2000-09-01 03:09:00 PDT,+3.10642e+006,-230431
2000-09-01 03:10:00 PDT,+3.10249e+006,-232116
2000-09-01 03:11:00 PDT,+3.12415e+006,-229396
2000-09-01 03:12:00 PDT,+3.17449e+006,-223648
2000-09-01 03:13:00 PDT,+3.2084e+006,-221125
2000-09-01 03:14:00 PDT,+3.22966e+006,-219002
2000-09-01 03:15:00 PDT,+3.26393e+006,-216846
2000-09-01 03:16:00 PDT,+3.2284e+006,-222350
2000-09-01 03:17:00 PDT,+3.25365e+006,-218113
2000-09-01 03:18:00 PDT,+3.25945e+006,-216683
2000-09-01 03:19:00 PDT,+3.25138e+006,-218960
2000-09-01 03:20:00 PDT,+3.2858e+006,-212419
2000-09-01 03:21:00 PDT,+3.29309e+006,-209989
2000-09-01 03:22:00 PDT,+3.31597e+006,-206289
2000-09-01 03:23:00 PDT,+3.32198e+006,-206783
2000-09-01 03:24:00 PDT,+3.36762e+006,-202691
2000-09-01 03:25:00 PDT,+3.38019e+006,-201911
2000-09-01 03:26:00 PDT,+3.39081e+006,-200750
2000-09-01 03:27:00 PDT,+3.38068e+006,-200671
2000-09-01 03:28:00 PDT,+3.39603e+006,-199556
2000-09-01 03:29:00 PDT,+3.40599e+006,-198835
2000-09-01 03:30:00 PDT,+3.40272e+006,-202471
2000-09-01 03:31:00 PDT,+3.40595e+006,-200172
2000-09-01 03:32:00 PDT,+3.37471e+006,-207253
2000-09-01 03:33:00 PDT,+3.38968e+006,-202763
2000-09-01 03:34:00 PDT,+3.43049e+006,-197406
2000-09-01 03:35:00 PDT,+3.43867e+006,-195962
2000-09-01 03:36:00 PDT,+3.42617e+006,-194090
2000-09-01 03:37:00 PDT,+3.43738e+006,-189521
2000-09-01 03:38:00 PDT,+3.47643e+006,-181939
2000-09-01 03:39:00 PDT,+3.54629e+006,-169310
2000-09-01 03:40:00 PDT,+3.56441e+006,-169957
2000-09-01 03:41:00 PDT,+3.54603e+006,-170744
2000-09-01 03:42:00 PDT,+3.55653e+006,-169886
2000-09-01 03:43:00 PDT,+3.59235e+006,-164946
2000-09-01 03:44:00 PDT,+3.6174e+006,-161819
2000-09-01 03:45:00 PDT,+3.67152e+006,-152012
2000-09-01 03:46:00 PDT,+3.70154e+006,-146653
2000-09-01 03:47:00 PDT,+3.68198e+006,-149434
2000-09-01 03:48:00 PDT,+3.66127e+006,-153757
2000-09-01 03:49:00 PDT,+3.63562e+006,-156330
2000-09-01 03:50:00 PDT,+3.69542e+006,-146898
2000-09-01 03:51:00 PDT,+3.73139e+006,-143096
2000-09-01 03:52:00 PDT,+3.74665e+006,-139294
2000-09-01 03:53:00 PDT,+3.74148e+006,-142248
2000-09-01 03:54:00 PDT,+3.70699e+006,-147219
2000-09-01 03:55:00 PDT,+3.70652e+006,-147292
2000-09-01 03:56:00 PDT,+3.74437e+006,-143310
2000-09-01 03:57:00 PDT,+3.73168e+006,-143372
2000-09-01 03:58:00 PDT,+3.7401e+006,-137981
2000-09-01 03:59:00 PDT,+3.75324e+006,-137292
2000-09-01 04:00:00 PDT,+3.78065e+006,-133622
2000-09-01 04:01:00 PDT,+3.7547e+006,-138000
2000-09-01 04:02:00 PDT,+3.76065e+006,-137072
2000-09-01 04:03:00 PDT,+3.80657e+006,-129660
2000-09-01 04:04:00 PDT,+3.77306e+006,-136464
2000-09-01 04:05:00 PDT,+3.72717e+006,-144215
2000-09-01 04:06:00 PDT,+3.76004e+006,-141281
2000-09-01 04:07:00 PDT,+3.79591e+006,-133970
2000-09-01 04:08:00 PDT,+3.81202e+006,-132284
2000-09-01 04:09:00 PDT,+3.81235e+006,-130479
2000-09-01 04:10:00 PDT,+3.83486e+006,-125470
2000-09-01 04:11:00 PDT,+3.82552e+006,-126589
2000-09-01 04:12:00 PDT,+3.82017e+006,-130422
2000-09-01 04:13:00 PDT,+3.78964e+006,-133192
2000-09-01 04:14:00 PDT,+3.80601e+006,-134771
2000-09-01 04:15:00 PDT,+3.7905e+006,-136695
2000-09-01 04:16:00 PDT,+3.77332e+006,-141461
2000-09-01 04:17:00 PDT,+3.79257e+006,-137985
2000-09-01 04:18:00 PDT,+3.80681e+006,-136730
2000-09-01 04:19:00 PDT,+3.89151e+006,-123085
2000-09-01 04:20:00 PDT,+3.91917e+006,-117955
2000-09-01 04:21:00 PDT,+3.97185e+006,-109011
2000-09-01 04:22:00 PDT,+4.00031e+006,-104542
2000-09-01 04:23:00 PDT,+3.98668e+006,-106250
2000-09-01 04:24:00 PDT,+3.97244e+006,-110433
2000-09-01 04:25:00 PDT,+3.95653e+006,-114478
2000-09-01 04:26:00 PDT,+3.97324e+006,-113633
2000-09-01 04:27:00 PDT,+3.97839e+006,-113964
2000-09-01 04:28:00 PDT,+3.96458e+006,-117058
2000-09-01 04:29:00 PDT,+3.95081e+006,-119095
2000-09-01 04:30:00 PDT,+3.99041e+006,-114193
2000-09-01 04:31:00 PDT,+3.99979e+006,-111100
2000-09-01 04:32:00 PDT,+3.97504e+006,-114353
2000-09-01 04:33:00 PDT,+3.9935e+006,-111615
2000-09-01 04:34:00 PDT,+3.92818e+006,-122993
2000-09-01 04:35:00 PDT,+3.95436e+006,-116368
2000-09-01 04:36:00 PDT,+3.92641e+006,-119133
2000-09-01 04:37:00 PDT,+3.90141e+006,-123447
2000-09-01 04:38:00 PDT,+3.93433e+006,-115762
2000-09-01 04:39:00 PDT,+3.93161e+006,-116009
2000-09-01 04:40:00 PDT,+3.96299e+006,-108227
2000-09-01 04:41:00 PDT,+4.00206e+006,-98464.3
2000-09-01 04:42:00 PDT,+4.02219e+006,-95475.3
2000-09-01 04:43:00 PDT,+4.07777e+006,-83616.1
2000-09-01 04:44:00 PDT,+4.09931e+006,-81285.6
2000-09-01 04:45:00 PDT,+4.10093e+006,-82442.7
2000-09-01 04:46:00 PDT,+4.07529e+006,-86604.6
2000-09-01 04:47:00 PDT,+4.12807e+006,-79161.1
2000-09-01 04:48:00 PDT,+4.14075e+006,-76771.3
2000-09-01 04:49:00 PDT,+4.13153e+006,-76210.5
2000-09-01 04:50:00 PDT,+4.15986e+006,-72882.2
2000-09-01 04:51:00 PDT,+4.20106e+006,-66211.1
2000-09-01 04:52:00 PDT,+4.20527e+006,-67029
2000-09-01 04:53:00 PDT,+4.19676e+006,-69178.6
2000-09-01 04:54:00 PDT,+4.26619e+006,-58488.5
2000-09-01 04:55:00 PDT,+4.27577e+006,-57821.8
2000-09-01 04:56:00 PDT,+4.27399e+006,-57197.6
2000-09-01 04:57:00 PDT,+4.33471e+006,-44640.4
2000-09-01 04:58:00 PDT,+4.38529e+006,-34195.2
2000-09-01 04:59:00 PDT,+4.3352e+006,-41563.6
2000-09-01 05:00:00 PDT,+4.3294e+006,-41347.3
2000-09-01 05:01:00 PDT,+4.33476e+006,-39715.4
2000-09-01 05:02:00 PDT,+4.33169e+006,-38010.6
2000-09-01 05:03:00 PDT,+4.31471e+006,-40353
